loan_id,original_loan_amount,loan_to_value_ratio,debt_to_income_ratio,credit_score,current_loan_balance,monthly_payment,prepayment_penalty_flag,property_type,occupancy_status,loan_purpose,number_of_borrowers,first_time_homebuyer_flag,servicer_name,current_interest_rate,zero_balance_code,zero_balance_date
LOAN_000011,253427.0246429743,87.77114905143982,34.480982133510246,582.1805340276583,411910.3693988408,1516.2752773936875,Y,PU,P,C,2,Y,CHASE,3.6579779338889753,03,2024-06-08
LOAN_000012,324196.2271566034,55.26303887672788,24.13772305719001,627.7812679088288,268562.77428031294,2018.575645152275,N,CO,P,P,2,N,WELLS FARGO,6.156303913033506,03,2024-04-16
LOAN_000013,108671.9755342202,68.01073532891924,19.5364996431258,687.7648120688582,250284.1018616292,2063.1135051620745,N,SF,P,P,2,N,QUICKEN,3.220286244509177,03,2024-02-29
LOAN_000014,127508.21674869672,87.34482888004982,35.22971573896945,472.541946004387,215889.3274360344,1078.9344291901132,Y,SF,I,C,4,Y,QUICKEN,5.176972004510498,03,2024-01-22
LOAN_000015,243771.24707590273,75.62312760845842,29.284859907270178,771.2515456007884,167543.78793146927,1681.2956375234353,Y,CO,P,C,4,Y,CHASE,3.8678192361350243,03,2024-09-14
LOAN_000016,198716.88796655764,58.89460730703804,16.60729684514699,610.1856720231144,234446.5886154893,1496.0785787233444,N,SF,P,P,2,N,CHASE,5.104548158547342,03,2024-03-18
LOAN_000017,331424.73325952736,81.87476908688163,14.831415834916815,774.947050661211,327953.8191332569,1467.2320759481458,N,SF,P,P,2,N,WELLS FARGO,4.660062276817089,15,2024-11-19
LOAN_000018,209197.5924478789,64.27789111512794,20.412962708564162,767.9132803576728,248745.76324952007,2165.153975215358,N,SF,P,C,1,Y,CHASE,4.6792937672290575,16,2024-03-31
LOAN_000019,158769.62986647084,100.0,48.2096722526623,676.5045565510093,298822.72687144385,1381.2309300530371,N,PU,S,R,4,N,WELLS FARGO,3.4125670346788737,03,2024-10-16
LOAN_000020,446564.8768921554,98.17262193627388,52.13277918011304,800.0438660561231,391256.57188052504,1212.2114483624391,N,MH,P,C,2,Y,CHASE,4.870461828713368,03,2024-01-05
LOAN_000021,277422.3699513464,84.06146139533351,32.0498914730891,779.4557875939946,203561.74556430458,1092.504347815743,N,SF,P,P,2,N,BANK OF AMERICA,4.45945864966347,03,2024-11-09
LOAN_000022,306752.8204687924,95.4151005715466,31.489427962412883,695.2830823332288,274229.99205267534,1412.7265343971778,Y,MH,P,C,2,Y,WELLS FARGO,4.304661474214478,03,2024-12-24
LOAN_000023,157525.18137865432,75.97187025185072,26.63679628170479,686.2592307846642,330351.4848748542,1132.3768656109223,Y,SF,P,C,1,N,CHASE,3.6978075716836285,03,2024-07-12
LOAN_000024,245561.72754748174,86.48156241562523,20.655146516904978,807.7786228531486,175367.70932267228,1067.6091187304737,Y,SF,P,C,1,N,BANK OF AMERICA,4.05711582655774,03,2024-09-10
LOAN_000025,311092.2589709866,97.16580442953112,43.75179057607244,738.5611071526131,264244.2262452644,1055.014937166453,N,SF,P,R,3,N,WELLS FARGO,3.4766910409855276,03,2024-12-26
LOAN_000026,184900.6422577697,78.68248022691469,48.73576393897136,803.5757734694514,399785.9619701089,1084.7286479466004,N,SF,P,P,2,N,QUICKEN,4.163043475874021,03,2024-12-15
LOAN_000027,337569.8018345672,71.17219242728575,21.065809141607147,528.882074051781,222779.96956321475,1119.5838054913297,N,CO,P,P,3,N,QUICKEN,4.9550441972894514,03,2024-09-11
LOAN_000028,239936.1310081195,49.43067062734326,29.171616215753986,727.8788077615569,335467.72304030316,1699.5263608292705,N,SF,P,P,2,N,CHASE,3.04972618625976,03,2024-11-10
LOAN_000029,270830.62502067233,73.75299711417759,25.50133699289832,593.8072730424501,238709.04982321826,520.008738696431,N,SF,P,C,2,Y,QUICKEN,4.471242134274634,09,2024-04-13
LOAN_000030,239829.3387770603,87.35134776843466,25.79760925135023,717.936919401059,393966.9613853592,1149.1233760082382,N,SF,P,R,1,N,QUICKEN,3.9059948591466274,03,2024-04-15
LOAN_000031,485227.81845089374,89.18450141351444,41.859082554298624,777.1056166676707,118362.56889303157,1449.9350463208837,N,SF,P,P,1,Y,WELLS FARGO,5.764836249146076,03,2024-08-03
LOAN_000032,298650.2775262066,82.56547598577615,16.88038454633878,850.0,255196.49528082274,2074.3123100890693,N,SF,S,P,2,N,QUICKEN,4.115539891509879,03,2024-06-08
LOAN_000033,194228.90710440997,66.8805135755664,34.66469690936306,644.9466617250251,131691.6243883288,1377.0364804617082,Y,SF,P,C,2,Y,BANK OF AMERICA,4.415933930186696,03,2024-05-09
LOAN_000034,382254.49121031887,45.347676465786144,37.28238107305866,677.9436155758414,193929.85469752847,1423.338316058663,N,SF,P,R,2,N,CHASE,4.8784819780515845,03,2024-10-31
LOAN_000035,177915.63500289776,67.57177352992898,28.578488263981807,712.357367433957,193454.49717638444,1456.02664801094,N,PU,P,R,2,N,WELLS FARGO,6.204625409578647,03,2024-05-21
LOAN_000036,320886.3595004755,70.43482693419072,38.93067826986773,642.0375118830488,228643.49542929165,588.1561731111369,Y,CO,P,C,3,Y,CHASE,4.877549124429836,06,2024-12-14
LOAN_000037,104032.98761202244,70.30606549214978,31.476518405374502,798.2847783031406,154936.6919443744,1829.5465504624658,N,SF,I,R,2,N,QUICKEN,6.892512252667579,03,2024-11-22
LOAN_000038,167181.39511015694,84.27834535466887,42.17129921156112,714.3924363707501,244260.83539523903,1808.7107851056874,N,SF,P,C,2,N,BANK OF AMERICA,5.652617886883069,01,2024-04-02
LOAN_000039,319686.12358691235,100.0,14.777946950741459,729.7565618700837,286837.32035849424,1907.2480796433365,N,SF,P,C,2,N,WELLS FARGO,4.388296912260508,03,2024-02-28
LOAN_000040,373846.657999541,76.85293802761639,26.512247389931307,769.6138501419327,127447.74939027472,2752.9240265141448,N,SF,P,P,2,Y,BANK OF AMERICA,2.0,03,2024-05-13
LOAN_000041,317136.82811899704,71.74902316265307,29.281868571489653,714.2630786899673,199205.40079764227,850.7391985063952,Y,SF,S,P,2,N,QUICKEN,3.7549492358862713,03,2024-10-18
LOAN_000042,288435.17176117597,71.1116728049386,5.0,654.5968697459308,453279.37062104186,755.9866676971632,N,SF,S,P,2,N,CHASE,5.146112844211151,03,2024-02-16
LOAN_000043,269889.6304410711,76.86577150361572,19.140472664214652,714.9583809361227,276338.9711092679,1852.9336572994941,N,SF,P,C,1,N,BANK OF AMERICA,3.236540518322721,03,2024-09-28
LOAN_000044,152147.80096325726,62.57559359477402,21.86400745641214,651.5054912389289,104580.70366545863,1331.255449407154,N,SF,P,P,2,N,BANK OF AMERICA,2.5613134471431565,15,2024-11-10
LOAN_000045,228015.57916052913,76.80297838119083,39.4820599482335,728.6384711293189,137962.730819217,1007.1858732315297,N,SF,P,C,2,Y,WELLS FARGO,4.75967010412835,03,2024-04-01
LOAN_000046,253936.12290402123,81.762185044977,22.931566536853996,799.7550176641437,268072.3396298289,1358.7187660895154,N,SF,P,C,2,N,WELLS FARGO,2.9028928713135613,03,2024-11-30
LOAN_000047,405712.2226218916,78.14529095361732,21.819210126940227,626.0017366182135,258053.283085939,1190.8281874541394,N,SF,P,C,1,N,CHASE,4.584695358919269,03,2024-01-18
LOAN_000048,334361.82895684615,81.86312901007172,38.17485780656192,597.4103198846326,203004.5758639296,2362.3885338985833,N,CO,P,P,2,N,BANK OF AMERICA,4.301895496563059,03,2024-01-30
LOAN_000049,123695.9844637266,81.50621414022802,13.820893542099455,723.9399948735739,425465.19655103807,2630.906152011651,Y,SF,P,P,1,Y,BANK OF AMERICA,2.998813197649092,03,2024-05-29
LOAN_000050,332408.3969394795,48.42154976630334,9.287559325564278,658.5760306604875,459498.3056694923,682.2193543282671,N,SF,P,C,2,Y,WELLS FARGO,6.391911039800296,03,2024-05-23
LOAN_000051,261491.77195836834,84.55305237593105,26.384076999306536,722.5396219529575,228849.33121202214,761.7255933666816,Y,SF,P,C,2,Y,QUICKEN,3.8243706240195428,03,2024-10-17
LOAN_000052,232307.79996940412,64.9347773150632,15.522932319216448,745.632281648776,319836.5492741391,1120.3159976840466,N,CO,P,P,1,N,WELLS FARGO,5.4782753974568,03,2024-03-31
LOAN_000053,361167.6288840868,58.562412554940636,15.90320705340351,548.5051016857169,323853.2937056802,1155.235979160494,N,SF,P,P,2,N,CHASE,5.791623014501024,03,2024-09-14
LOAN_000054,403099.9522495951,58.433222582175055,35.73433791687982,775.1879542126834,334469.8511582062,1112.3697766507905,Y,SF,S,C,3,N,QUICKEN,3.740375467748433,03,2024-01-31
LOAN_000055,393128.01191161986,81.50312415708794,38.75973837912579,626.4265197635801,198793.1742580877,1402.8829102282432,Y,SF,P,P,2,N,BANK OF AMERICA,6.578266815662292,03,2024-12-26
LOAN_000056,216078.24767773616,71.6613760916272,37.88864215852125,718.2121639548249,405155.93737764296,1276.5825996390297,N,CO,P,P,2,Y,BANK OF AMERICA,3.642319517591634,09,2024-12-27
LOAN_000057,269078.7624148785,49.77046824021884,41.087766603072325,667.2494131649256,244512.22430124728,823.193703552341,N,SF,P,P,1,N,WELLS FARGO,4.3883554986910935,03,2024-10-12
LOAN_000058,333126.3431403564,82.17056722788425,42.41134320014802,675.8434388172565,283759.3664820089,986.5958795680095,N,SF,P,P,1,Y,QUICKEN,4.795482699129212,03,2024-10-19
LOAN_000059,397554.5127122359,53.40587803801759,8.71409791173069,850.0,250163.48081826483,2273.1694161047817,N,SF,P,C,1,Y,QUICKEN,3.088127977564302,03,2024-02-18
LOAN_000060,252082.576215471,77.09732037777316,34.50411959929467,745.5414016636529,238825.10621609932,1321.2758766326583,N,PU,P,P,1,N,BANK OF AMERICA,4.322344183010373,03,2024-04-23
LOAN_000061,281434.10233361827,78.57748388509582,24.703918004304413,792.3750722362872,272272.3567950288,1295.6845541870055,N,SF,P,P,1,N,QUICKEN,5.146269645989217,03,2024-10-24
LOAN_000062,189366.50259939718,88.28365622542567,22.52575754009564,732.0753083362195,155129.15409651864,739.7814270862634,N,SF,P,P,1,Y,BANK OF AMERICA,4.839502946203507,03,2024-04-19
LOAN_000063,180379.3375919329,100.0,35.604146322087054,769.6010859723963,92307.75846610806,1268.391636347917,N,SF,P,P,4,Y,QUICKEN,5.817589154406887,16,2024-03-31
LOAN_000064,381252.5822394198,54.52985511149188,12.697045201042481,753.3902689714762,232929.56191890186,1980.4512147837913,N,SF,P,P,2,N,CHASE,3.3126108073179283,03,2024-05-05
LOAN_000065,435624.0028570823,74.21289215905426,12.488913941276799,740.3564915749461,179565.78904613847,1797.775739234703,N,SF,P,C,2,Y,QUICKEN,4.256295857241275,03,2024-09-06
LOAN_000066,292798.9878419666,70.85497057433673,36.33572744081717,808.5724727331744,293800.2942389312,1905.5496489867783,N,PU,S,P,2,N,WELLS FARGO,3.9791774069362,03,2024-08-20
LOAN_000067,400353.2897892024,81.50624528941444,34.87786017510898,732.5204363075416,284703.2126969319,898.201461961835,N,SF,P,C,2,Y,WELLS FARGO,3.5900562590279694,03,2024-05-02
LOAN_000068,336163.6025047634,78.23503156400427,31.367326558715103,850.0,251078.40157573618,890.1911582980762,N,MH,P,P,2,N,QUICKEN,4.19848660734262,03,2024-04-28
LOAN_000069,235488.02453948758,69.7118063589507,21.20086595276863,796.842525824995,368525.9832443508,2066.717861087027,N,CO,S,P,1,N,WELLS FARGO,4.7192041846648225,03,2024-07-17
LOAN_000070,336139.5605508414,68.38646717083716,37.43829634582124,628.8367441808248,249501.78569096242,1913.1370699338836,N,PU,P,P,2,N,WELLS FARGO,3.7933492144222747,01,2024-03-11
LOAN_000071,453803.6566465969,58.25323717223929,36.80302892060476,705.8760232813614,133347.93256432828,1370.7686190921763,Y,SF,P,P,1,N,CHASE,3.7720826126980187,03,2024-06-29
LOAN_000072,296417.3960890048,89.81792373609764,30.853045150474543,751.7662079592535,232108.46066764672,1926.5201342245387,N,SF,P,R,2,N,CHASE,4.828807791871521,03,2024-07-29
LOAN_000073,456464.36558140063,81.88806272399295,18.226789587302285,723.559746856963,343677.42134840076,898.5018138731056,N,SF,P,R,2,Y,BANK OF AMERICA,5.720206043846261,02,2024-12-18
LOAN_000074,50000.0,88.76652296692706,25.747516542704933,774.9498735177734,99259.62616315656,877.7659461012674,N,SF,P,C,3,Y,QUICKEN,5.606342728692239,03,2024-04-07
LOAN_000075,382190.25043752237,70.34405795286729,38.37833677524443,783.7613363867099,242477.09383600188,691.2694237426382,N,SF,P,P,2,Y,QUICKEN,4.977645889712541,03,2024-04-17
LOAN_000076,308704.7068238171,65.14746796958354,43.27191222801787,611.2330411360829,296036.9627647164,1680.7352165018224,N,SF,P,P,2,N,QUICKEN,3.3520592875776547,03,2024-08-04
LOAN_000077,270099.2649534133,58.82527400056158,26.734633966236714,822.4862035773195,462179.3867622227,1608.3589372190334,Y,SF,P,C,2,N,CHASE,3.5195896212982465,09,2024-01-31
LOAN_000078,309176.07765355025,80.38376375610989,27.503270321917377,680.2546027611164,346660.6109542085,1238.7917399095218,N,SF,P,P,2,N,CHASE,3.8852666438331176,01,2024-10-21
LOAN_000079,101243.10853991073,59.403101632076485,28.38310891974939,672.3276395308194,260609.31066915885,1109.8036951942445,N,PU,S,P,2,N,WELLS FARGO,4.007360126282038,03,2024-07-07
LOAN_000080,278032.8112162488,100.0,32.74893008910972,672.0702085835568,291660.7381077558,2707.274301931453,N,SF,S,P,2,Y,BANK OF AMERICA,4.748578489214602,03,2024-08-19
LOAN_000081,335711.25715117465,55.38536128359839,24.18932699939976,784.6861124792466,98184.37117720593,1370.4345032058063,Y,SF,P,P,1,Y,WELLS FARGO,3.859209621334066,03,2024-07-19
LOAN_000082,447789.4044741516,79.10490178818753,5.0,698.6345841481772,166022.225127523,2194.033507266988,N,CO,S,C,2,Y,WELLS FARGO,4.909121882304341,03,2024-06-14
LOAN_000083,248172.97817263525,98.50282060820679,41.92769001647097,666.9158684529834,302076.45368885045,1426.8257827752593,N,SF,P,P,1,N,QUICKEN,3.4720582027155444,03,2024-03-27
LOAN_000084,219150.63971068122,83.98634638895713,47.9468894716255,686.0832674045171,262893.39173250546,1249.6436461056674,N,SF,P,C,2,N,QUICKEN,5.628772477933646,03,2024-02-25
LOAN_000085,249824.29564154634,77.6351056873767,23.876001403942873,576.4246672867298,273099.29492779146,2208.329754903195,Y,SF,P,P,2,Y,CHASE,4.369973573320238,03,2024-05-19
LOAN_000086,391540.2117702074,60.47274529557157,19.33346631081226,652.626898883881,252729.17229418887,1894.9820602079983,Y,PU,P,P,2,Y,QUICKEN,5.001713855859824,03,2024-09-18
LOAN_000087,332875.11096596846,54.27346217148444,28.628994776097777,620.833316107752,249592.72819347886,1487.945488501175,N,SF,P,P,2,Y,BANK OF AMERICA,4.559344463393409,03,2024-09-04
LOAN_000088,247023.97962329612,86.55075163376378,28.12496116271227,698.4664535603287,258234.45187830378,2066.857055876306,Y,SF,P,P,1,Y,BANK OF AMERICA,3.2651478678714385,03,2024-09-08
LOAN_000089,351326.7433113356,97.5922086116242,39.955185771629594,773.1354616218874,165517.1852588156,2760.1532580876183,N,SF,S,R,2,N,CHASE,5.2067693246777695,03,2024-10-30
LOAN_000090,309707.75493480405,68.41725014282743,30.54639441645038,764.3100720746581,231685.8422124054,1133.8233167389224,Y,CO,I,P,1,N,WELLS FARGO,3.6643140958394604,03,2024-08-11
LOAN_000091,396864.49905328895,57.91407738575474,22.07377169628817,820.5400398037266,150471.62948569268,1735.8683233726256,N,SF,P,P,1,N,WELLS FARGO,4.011960068344993,03,2024-07-15
LOAN_000092,229794.69061226476,38.127458541764724,16.81590549441951,802.7180653837297,200432.2834609407,1295.3949181291262,Y,SF,P,P,2,N,QUICKEN,2.6724256384434053,01,2024-03-15
LOAN_000093,267233.78534022317,60.28852734506194,38.65634184819673,677.7122628065298,345672.4007363627,1032.729489615849,N,SF,P,P,2,N,CHASE,3.7169934503623754,03,2024-07-18
LOAN_000094,260789.18468678423,73.2951473625144,35.995112411642495,721.5257120602971,235539.8151601949,1018.8666069419335,N,SF,I,P,4,N,BANK OF AMERICA,3.733900704810474,03,2024-08-07
LOAN_000095,153648.50518678816,98.98684861255101,40.605598780918186,717.3955124622865,297667.15802246466,2296.166573009299,Y,SF,P,P,2,Y,BANK OF AMERICA,3.861079032928124,03,2024-08-29
LOAN_000096,329612.0277064576,85.09700538349453,20.31813249278906,547.915785382249,259223.564329004,587.6196963468274,Y,SF,P,R,2,N,CHASE,4.8046985455495905,03,2024-05-19
LOAN_000097,326105.5272179889,79.5762810706013,48.384368995283296,622.6192370472204,219208.66664853803,1753.9296792333978,N,CO,P,P,1,N,WELLS FARGO,4.802172726740426,03,2024-03-28
LOAN_000098,300511.34566424607,68.99820508048303,12.56305492942763,706.617065827911,169314.50347132614,1087.378461189883,Y,MH,P,P,2,N,CHASE,6.758478161695129,09,2024-02-19
LOAN_000099,276541.28666248533,66.25251424116065,37.0960102140148,706.1682851887354,217995.54780725137,2386.247475783997,Y,CO,P,P,1,N,BANK OF AMERICA,5.392479458045017,16,2024-10-02
LOAN_000100,158462.92579495857,96.08471396261945,10.904172328030985,760.9860043364133,264654.275678442,1363.4616755328364,N,SF,P,R,2,Y,BANK OF AMERICA,6.356376356411435,03,2024-10-30
LOAN_000101,257935.4677234641,78.01107811137584,22.096686183015322,757.0913303628679,296412.2755299408,1317.9961633588669,N,SF,P,R,1,Y,BANK OF AMERICA,3.3218554634484887,03,2024-09-29
LOAN_000102,265728.548347323,43.460989621184666,45.61022930447959,578.3445998320212,259786.94916458288,2284.7546522471184,N,SF,P,P,3,N,BANK OF AMERICA,4.447656341622314,03,2024-05-23
LOAN_000103,219772.27307783812,64.89690528154136,38.313642544759894,761.4877387566024,301958.42543565686,1938.4000411561071,N,SF,P,C,2,N,CHASE,5.984567498533302,09,2024-07-03
LOAN_000104,283871.4288333991,62.1267595234256,24.53779584512818,734.2869765163011,128386.39179522352,1777.1134921813352,N,MH,P,P,1,Y,WELLS FARGO,4.741152973588429,03,2024-08-07
LOAN_000105,340405.0856814538,66.80603986233803,24.81162957178312,769.8698545315704,319333.00460668013,1902.9059777528919,N,MH,P,C,2,Y,CHASE,4.6790075609203425,03,2024-12-27
LOAN_000106,488618.59012105304,83.44365990427627,31.00622110835442,805.3492470113272,159739.49274384376,958.3632056171285,N,PU,P,P,2,N,CHASE,5.125142355406549,02,2024-03-14
LOAN_000107,317457.7812831839,73.38832677308626,35.141409907607226,708.5693621769623,328680.3693726417,1870.856602769068,Y,SF,I,P,2,N,WELLS FARGO,3.0844927571823524,03,2024-04-04
LOAN_000108,325755.03907227644,73.84701889494507,42.515793826826965,819.6470589584064,290192.4674730275,1400.472892912491,N,SF,P,P,2,Y,BANK OF AMERICA,5.870140810573975,03,2024-09-28
LOAN_000109,292555.40842338325,94.70209741987856,25.437659953915055,648.8479636885563,100384.83502840271,1680.4623495811297,N,CO,P,C,1,Y,QUICKEN,3.518799660599859,03,2024-08-18
LOAN_000110,108122.87847009586,64.55308365319968,13.882149365127987,644.3409503702226,308957.0259347944,1742.2764631306459,Y,SF,P,P,1,N,WELLS FARGO,3.8572041642773685,02,2024-10-11
LOAN_000111,297348.6124550783,100.0,31.5696862704876,754.3017752108433,329607.7871866329,944.7454583963464,N,CO,S,R,1,N,BANK OF AMERICA,3.6350494130385105,01,2024-06-02
LOAN_000112,306023.02099410264,64.93038612943371,25.425691624916052,690.4985963755856,350630.27682767244,1796.9112979204142,N,SF,I,P,1,N,BANK OF AMERICA,4.586370531137334,03,2024-03-27
LOAN_000113,546324.2112485287,76.33797294918857,16.99366295251553,740.9306051695175,188512.13727151818,1406.8213550143118,N,CO,P,R,2,N,CHASE,4.87880338921336,03,2024-03-01
LOAN_000114,280763.9035218877,70.78194606895849,32.97668915312794,850.0,264352.8673656421,880.0392770115651,N,CO,P,P,3,Y,WELLS FARGO,4.049658259256113,03,2024-11-26
LOAN_000115,330154.73423336126,76.85128700251441,27.86886245907211,751.4796058803181,305555.9506438967,1426.7170967354793,N,SF,I,C,2,N,CHASE,3.233252762887436,03,2024-06-24
LOAN_000116,296528.8230294757,81.66887992609693,33.065122064697945,736.9735631091296,308906.1493929663,1510.0125570575872,N,SF,P,P,2,Y,WELLS FARGO,3.2507561825865747,09,2024-01-10
LOAN_000117,183132.1962380468,81.50752860133315,21.055557998128194,650.4623697078522,282761.66094903747,1796.815945633981,N,CO,P,P,1,N,QUICKEN,3.837086940873406,03,2024-04-19
LOAN_000118,414282.28145150206,63.7032400406913,34.86710530325499,584.0016154700522,215869.1005234702,305.85448109632443,N,MH,I,P,2,N,WELLS FARGO,5.262771996942571,03,2024-08-31
LOAN_000119,375193.30326867744,58.15627983828644,16.829018032450215,714.1962707781191,329035.5003287318,1694.0681149383297,N,CO,P,C,2,N,QUICKEN,2.3541415916153476,03,2024-08-16
LOAN_000120,379103.1947043047,100.0,21.72268610303417,805.3496197286557,329505.5973451613,1244.0699715823034,N,PU,P,P,3,N,CHASE,6.101497234229909,09,2024-11-04
LOAN_000121,209061.2545205261,67.7402349059917,27.570857689127223,694.1649594351461,237657.7355122718,1904.9367232052457,N,PU,S,P,2,N,WELLS FARGO,3.7669866485485133,03,2024-06-01
LOAN_000122,440279.4310936099,85.4881865800798,47.41818414959714,752.1169999364295,187315.6156767151,1499.066926857883,N,MH,P,C,2,N,WELLS FARGO,4.924580079051751,03,2024-05-03
LOAN_000123,159814.8937207719,50.88538034215205,37.848253685484934,834.1197818174866,191767.7328641485,1333.3092478225255,N,SF,P,P,1,N,QUICKEN,4.7617854962386685,03,2024-08-19
LOAN_000124,358685.709380027,70.80580920142985,40.77192504267789,832.1213050584288,359185.41722657694,1411.2498018618694,N,SF,P,P,2,Y,QUICKEN,3.9345265206792934,03,2024-12-28
LOAN_000125,519045.5625809978,73.09200924026335,44.17077033343144,754.3052710081427,326054.2707934741,1666.7048710955555,N,SF,S,P,2,N,WELLS FARGO,5.042325074247394,06,2024-10-10
LOAN_000126,200946.36748693115,82.09222604891748,60.0,733.6085182925874,248396.81738239765,1953.9547038356768,N,SF,P,C,1,Y,WELLS FARGO,2.3607721272982976,03,2024-07-23
LOAN_000127,243370.2270397228,34.16318788512092,30.41589067558434,598.509356079754,234066.14339832022,1054.4443511624704,N,SF,P,P,2,N,QUICKEN,4.533006096784815,03,2024-11-02
LOAN_000128,309965.1365087641,77.49210919617497,44.204009231298556,669.5844284658448,108545.05913154577,1328.1700702838486,Y,SF,P,P,2,N,WELLS FARGO,2.536993342455732,03,2024-02-08
LOAN_000129,249652.43458838007,57.75387816948161,40.12635254401941,697.5395353585542,243247.91164975264,2234.6730254093372,N,CO,P,P,1,N,CHASE,4.629076437698246,03,2024-08-15
LOAN_000130,144933.65689338674,79.86518566792385,39.96032503307526,651.8134710852678,154710.78763566609,1319.4441533565162,N,SF,I,C,3,N,WELLS FARGO,5.308463509816962,03,2024-09-27
LOAN_000131,306856.29748060275,59.45506204742756,47.74239618040181,739.8762610362212,262719.95811934065,1683.624865407634,N,SF,P,C,2,N,WELLS FARGO,3.640935348281631,03,2024-01-02
LOAN_000132,193769.6286273895,62.16775956111628,25.806869690155235,850.0,344819.7797409153,882.9040311568652,N,PU,P,C,1,Y,CHASE,7.356603662787657,03,2024-07-03
LOAN_000133,347359.24306351814,70.89558584410098,25.013149760636203,841.4209274129294,171563.8757622047,642.7463544182652,N,SF,P,P,2,Y,CHASE,5.430409272816188,03,2024-05-01
LOAN_000134,208057.5765766197,59.21505795595207,33.19765513481862,739.5103889464966,269086.9408310427,979.8975674760186,Y,SF,P,P,1,N,CHASE,5.3292380321501005,06,2024-06-04
LOAN_000135,454993.44050175394,67.86698329896967,28.17300228078113,782.3547257619863,329822.38096079405,1155.0539719911608,N,CO,P,P,2,Y,QUICKEN,4.348091058006978,03,2024-10-17
LOAN_000136,221674.6707663763,57.09936347185027,33.18500852998173,661.7116547715104,267623.6316217801,2019.9555820237913,Y,SF,S,C,1,N,WELLS FARGO,4.063142706840693,03,2024-03-13
LOAN_000137,267793.84837943246,47.502443224519084,45.627487850530116,837.1271480535041,208081.36305197945,2074.763131343686,N,SF,P,P,1,N,CHASE,5.737327178679389,01,2024-06-07
LOAN_000138,381351.721736967,90.2693557864404,25.218532772937216,595.0426723243855,250830.91242176908,537.3398465522744,N,SF,P,P,2,N,WELLS FARGO,6.6509947754608225,03,2024-10-28
LOAN_000139,176913.5683566045,55.55926960764107,26.953210374062696,793.026252886893,326579.89697823016,1229.3774303540692,N,SF,P,C,2,N,BANK OF AMERICA,3.611561217407817,03,2024-02-24
LOAN_000140,322745.99346041295,72.31978668588025,31.74311003526577,759.647176815982,271006.2287917954,1848.8946985202422,N,SF,P,R,2,N,WELLS FARGO,4.027402596738575,03,2024-09-17
LOAN_000141,430714.2754282428,86.29336622240677,27.716815739748306,659.531249059646,249730.35339517257,1447.3234377843876,N,PU,P,P,2,N,CHASE,4.931301595966554,03,2024-09-06
LOAN_000142,139251.67654387726,65.77583846225936,10.859941719865127,703.297059460965,342491.4500969301,2252.2792329087133,N,SF,P,R,1,N,CHASE,5.926725408946199,03,2024-06-19
LOAN_000143,318463.38585323043,62.62251150381693,24.198723573010604,629.2597837475153,291193.4295960339,1836.750471065651,N,MH,P,P,2,N,CHASE,3.5046966546098264,03,2024-08-20
